,id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,3eFepXGITXNDXXHUNqouxi,https://open.spotify.com/track/3eFepXGITXNDXXHUNqouxi,Shake Me Down,Cage The Elephant,Thank You Happy Birthday,False,54,211373,9,1,4,0.457,0.613,0.0295,0.00463,0.00044100000000000004,0.0711,0.132,105.11,0
1,51pQ7vY7WXzxskwloaeqyj,https://open.spotify.com/track/51pQ7vY7WXzxskwloaeqyj,Stairway to Heaven - 1990 Remaster,Led Zeppelin,Led Zeppelin IV,False,67,478173,7,1,4,0.34600000000000003,0.335,0.0339,0.575,0.00674,0.185,0.213,84.204,0
2,6QHGyXR0m3PDStlyHN8dYK,https://open.spotify.com/track/6QHGyXR0m3PDStlyHN8dYK,Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),False,16,266906,6,1,4,0.716,0.301,0.0365,0.7020000000000001,0.145,0.0885,0.32899999999999996,129.997,0
3,3usVf6rhG6vDjcodeavHde,https://open.spotify.com/track/3usVf6rhG6vDjcodeavHde,Sozinho - Live In Brazil / 1998,Caetano Veloso,Prenda Minha (Live),False,1,190496,11,0,3,0.48,0.28300000000000003,0.187,0.634,0.000168,0.909,0.529,83.736,0
4,0sTr29gwWE4wIxjMLytsOu,https://open.spotify.com/track/0sTr29gwWE4wIxjMLytsOu,If You Believe,Sasha,Greatest Hits,False,42,239973,5,1,1,0.36700000000000005,0.522,0.0358,0.115,0.0,0.109,0.483,82.509,0
5,0q21FNwES2bbtcduB6kjEU,https://open.spotify.com/track/0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,Dancing in the Moonlight,False,67,181133,10,1,4,0.657,0.435,0.0552,0.7390000000000001,0.0,0.16699999999999998,0.7709999999999999,135.975,0
6,1XxCiPw07rd1ytYnE7SoJI,https://open.spotify.com/track/1XxCiPw07rd1ytYnE7SoJI,Road Trippin',Red Hot Chili Peppers,Californication (Deluxe Edition),False,61,204973,4,0,4,0.243,0.47,0.0353,0.309,0.000798,0.121,0.39299999999999996,204.02599999999998,0
7,4QsnHKvJGVbWJs3Em9Mrcy,https://open.spotify.com/track/4QsnHKvJGVbWJs3Em9Mrcy,Lost Stars,Keira Knightley,Begin Again - Music From And Inspired By The Original Motion Picture,False,5,240186,1,1,4,0.515,0.321,0.0271,0.6709999999999999,1.66e-06,0.11199999999999999,0.324,81.82300000000001,0
8,0THbsvMRmCHpFT3YLX301c,https://open.spotify.com/track/0THbsvMRmCHpFT3YLX301c,Hey There Delilah,Plain White T's,All That We Needed,False,5,232813,2,1,4,0.6579999999999999,0.29600000000000004,0.0293,0.872,0.0,0.114,0.311,103.975,0
9,4PCyzOTAB7zfJaxaS1uLSY,https://open.spotify.com/track/4PCyzOTAB7zfJaxaS1uLSY,O Vento,Los Hermanos,"""4""",False,55,213866,9,1,4,0.665,0.685,0.0328,0.0247,1.0800000000000002e-05,0.08800000000000001,0.8390000000000001,137.94799999999998,0
